Date,Time,Lat,SN,Lon,EW,Dep,M,MT,Region
11/29/2018,54:11.5,1.75,S,133.86,E,12,3.4,-,"Irian Jaya Region, Indonesia"
11/29/2018,46:25.1,2.87,S,128.54,E,10,3.2,-,Ceram Sea
11/29/2018,42:05.5,8.83,S,109.77,E,63,4.5,Yes,"Java, Indonesia"
11/29/2018,21:45.7,0.23,N,97.07,E,14,5.7,Yes,"Northern Sumatra, Indonesia"
11/29/2018,18:12.8,0.19,N,96.97,E,42,4.7,-,Off West Coast of Northern Sumatra
11/29/2018,13:11.1,2.98,S,119.5,E,10,4,-,"Sulawesi, Indonesia"
11/29/2018,53:37.7,0.38,S,125.25,E,10,3.4,-,Southern Molucca Sea
11/29/2018,19:48.3,1.43,S,120.18,E,10,3.5,-,"Sulawesi, Indonesia"
11/29/2018,59:16.8,7.93,S,107.27,E,14,3.1,-,"Java, Indonesia"
11/29/2018,00:19.4,8.62,S,110.78,E,10,3.4,-,"Java, Indonesia"
11/29/2018,36:59.5,2.83,S,130.04,E,17,3.8,-,"Seram, Indonesia"
11/29/2018,07:53.8,2.3,S,122.76,E,20,3.4,-,"Sulawesi, Indonesia"
11/29/2018,06:26.3,3.27,N,125.7,E,180,4.5,-,"Talaud Islands, Indonesia"
11/29/2018,12:08.6,9.09,S,124.12,E,98,4.2,-,Timor Region
11/29/2018,07:39.4,0.09,N,125.21,E,58,5,Yes,Northern Molucca Sea
11/29/2018,33:44.1,2.97,S,119.51,E,10,3,-,"Sulawesi, Indonesia"
11/29/2018,25:08.7,5.09,N,96.98,E,26,3.1,-,"Northern Sumatra, Indonesia"
11/29/2018,55:02.9,0.51,N,120.52,E,63,3.5,-,"Minahassa Peninsula, Sulawesi"
11/28/2018,03:16.6,6.72,S,129.94,E,209,4.5,-,Banda Sea
11/28/2018,57:45.6,2.98,S,119.45,E,10,3.8,-,"Sulawesi, Indonesia"
11/28/2018,09:05.5,1.77,S,120.94,E,15,3.8,-,"Sulawesi, Indonesia"
11/28/2018,30:56.2,5.05,N,127.09,E,80,4.5,-,Philippine Islands Region
11/28/2018,15:41.1,0.84,N,125.38,E,20,4.4,-,Northern Molucca Sea
11/28/2018,39:06.0,7.8,S,106.4,E,29,3.9,-,"Java, Indonesia"
11/28/2018,08:46.5,1.46,N,99.51,E,185,4.9,-,"Northern Sumatra, Indonesia"
11/28/2018,52:02.4,8.35,S,120.35,E,162,3.5,-,"Flores Region, Indonesia"
11/28/2018,30:45.0,9.49,S,123.82,E,35,3.4,-,Timor Region
11/28/2018,54:52.3,6.84,S,129.99,E,177,4.3,-,Banda Sea
11/28/2018,35:24.4,8.13,S,116.4,E,19,3.4,-,"Sumbawa Region, Indonesia"
11/28/2018,28:23.1,0.23,S,125.1,E,31,4.2,-,Southern Molucca Sea
11/28/2018,08:38.7,2.8,S,119.51,E,10,3.2,-,"Sulawesi, Indonesia"
11/28/2018,01:39.9,1.5,S,133.75,E,10,3.8,-,"Irian Jaya Region, Indonesia"
11/28/2018,35:00.3,6.58,S,103.84,E,26,4.3,-,"Southwest of Sumatra, Indonesia"
11/28/2018,48:53.2,2.83,S,119.42,E,10,3.4,-,"Sulawesi, Indonesia"
11/28/2018,42:00.4,2.92,S,119.41,E,10,3.5,-,"Sulawesi, Indonesia"
11/28/2018,41:13.0,2.77,S,119.38,E,10,3.4,-,"Sulawesi, Indonesia"
11/28/2018,10:04.5,0.2,N,96.98,E,29,3.6,-,Off West Coast of Northern Sumatra
11/28/2018,37:03.7,9.5,S,116.52,E,47,3,-,"Sumbawa Region, Indonesia"
11/28/2018,02:24.4,2.87,S,119.42,E,10,3.4,-,"Sulawesi, Indonesia"
11/28/2018,22:40.4,0.74,N,97.46,E,15,3.3,-,"Northern Sumatra, Indonesia"
11/28/2018,58:18.9,10.74,S,120.35,E,11,3.1,-,"Sumba Region, Indonesia"
11/28/2018,47:42.8,9.01,S,123.97,E,17,3.3,-,Timor Region
11/28/2018,44:23.0,2.96,S,119.49,E,10,3.6,-,"Sulawesi, Indonesia"
11/28/2018,25:51.5,6.7,S,105.58,E,101,3.8,-,"Sunda Strait, Indonesia"
11/27/2018,40:23.3,9.2,S,124.73,E,10,3.6,-,Timor Region
11/27/2018,32:02.7,0.19,N,122.62,E,233,3.2,-,"Minahassa Peninsula, Sulawesi"
11/27/2018,20:05.5,1.75,N,98.19,E,67,3.1,-,"Northern Sumatra, Indonesia"
11/27/2018,27:48.9,4.51,N,97.85,E,10,3.2,-,"Northern Sumatra, Indonesia"
11/27/2018,44:36.7,2.92,S,119.53,E,10,3.5,-,"Sulawesi, Indonesia"
11/27/2018,23:35.5,2.89,S,119.51,E,10,3.4,-,"Sulawesi, Indonesia"
11/27/2018,14:50.9,0.11,N,119.59,E,10,3.9,-,"Minahassa Peninsula, Sulawesi"
11/27/2018,35:06.9,8.32,S,119.78,E,168,3.1,-,"Flores Region, Indonesia"
11/27/2018,11:29.7,2.84,S,119.48,E,10,3.2,-,"Sulawesi, Indonesia"
11/27/2018,11:28.6,2.74,S,119.45,E,10,3.2,-,"Sulawesi, Indonesia"
11/27/2018,17:32.6,5.68,S,102.87,E,10,3.2,-,"Southern Sumatra, Indonesia"
11/26/2018,21:15.2,2.94,S,119.47,E,10,4,-,"Sulawesi, Indonesia"
